time;I(VBT1);V(+3V0);V(/Green_Signal);V(/Red_Signal);
30.1185;-0.000660427;3;0.976931;-0.0981643;
30.1186;-0.00066308;3;0.976926;-0.0981642;
30.1186;-0.000668529;3;0.97691;-0.0981638;
30.1186;-0.000669954;3;0.976904;-0.0981637;
30.1187;-0.000672917;3;0.97689;-0.0981635;
30.1187;-0.000673713;3;0.976885;-0.0981635;
30.1187;-0.000675421;3;0.976871;-0.0981634;
30.1187;-0.000675897;3;0.976867;-0.0981634;
30.1187;-0.000676985;3;0.976853;-0.0981633;
30.1187;-0.000677324;3;0.976848;-0.0981633;
30.1187;-0.000678297;3;0.976827;-0.0981633;
30.1187;-0.000678367;3;0.976825;-0.0981633;
30.1187;-0.000678516;3;0.97682;-0.0981633;
30.1187;-0.000678913;3;0.976803;-0.0981633;
30.1187;-0.000679543;3;0.97673;-0.0981633;
30.1187;-0.00067967;3;0.975702;-0.0981633;
30.1187;-0.000679773;3;0.96047;-0.0981633;
30.1187;-0.000679882;3;0.855782;-0.0981633;
30.1187;-0.000680555;3;0.486391;-0.0981633;
30.1187;0.00154433;3;0.0228489;-0.0981633;
30.1187;-0.000888135;3;-0.0677117;-0.0981632;
30.1187;0.000133835;3;-0.11687;-0.0981632;
30.1187;-0.00117733;3;-0.0876788;-0.0981632;
30.1187;-0.000186581;3;-0.107501;-0.0981632;
30.1187;-0.00116957;3;-0.0893929;-0.0981632;
30.1187;-0.000193636;3;-0.106767;-0.0981632;
30.1187;-0.00116386;3;-0.0898465;-0.0981632;
30.1187;-0.0001985;3;-0.106428;-0.0981632;
30.1187;-0.00116029;3;-0.0900958;-0.0981632;
30.1187;-0.00020105;3;-0.106258;-0.0981632;
30.1187;-0.00115865;3;-0.0902093;-0.0981632;
30.1187;-0.000202032;3;-0.106195;-0.0981632;
30.1187;-0.00115815;3;-0.0902451;-0.0981632;
30.1187;-0.000202293;3;-0.106178;-0.0981632;
30.1187;-0.00115803;3;-0.0902542;-0.0981631;
30.1188;-0.000202356;3;-0.106174;-0.098163;
30.1188;-0.001158;3;-0.0902566;-0.0981627;
30.1189;-0.000202364;3;-0.106173;-0.0981621;
30.1191;-0.00115797;3;-0.0902573;-0.098161;
30.1195;-0.000202331;3;-0.106173;-0.0981587;
30.1203;-0.00115789;3;-0.0902583;-0.0981541;
30.1213;-0.000202216;3;-0.106174;-0.0981478;
